,label,price,ext_color,int_color,fuel_type,transmission,mileage
0,2014 Chevrolet Silverado 1500 Work Truck,"$16,000", Summit White , Jet Black / Dark Ash ,E85 Flex Fuel ,6-Speed Automatic," 110,644 mi. "
1,2019 GMC Acadia SLE-2,"$31,000", Blue Steel Metallic , Jet Black ,Gasoline ,6-Speed Automatic," 22,064 mi. "
2,2020 GMC Terrain SLT,"$26,000", Graphite Gray Metallic , Jet Black ,Gasoline ,9-Speed Automatic," 51,643 mi. "
3,2018 Ford F-150 Lariat,"$36,000", Shadow Black , Black ,Gasoline ,10-Speed Automatic," 99,747 mi. "
4,2015 Ford Explorer XLT,"$18,000", Gray , – ,E85 Flex Fuel ,6-Speed Automatic," 98,021 mi. "
5,2013 Ford F-150 XLT,"$23,000", Vermillion Red , Steel Gray ,Gasoline ,6-Speed Automatic," 114,242 mi. "
6,2020 RAM 1500 Big Horn,"$35,000", Billet Silver Metallic Clearcoat , Black ,Gasoline ,8-Speed Automatic," 95,235 mi. "
7,2016 Chevrolet Malibu 1LT,"$15,500", Blue Velvet Metallic , Jet Black ,Gasoline ,6-Speed Automatic," 83,561 mi. "
8,2012 Chevrolet Equinox 2LT,"$7,000", Black , Jet Black ,Gasoline ,6-Speed Automatic," 195,104 mi. "
9,2019 Dodge Charger SXT,"$30,000", Destroyer Gray Clearcoat , Black ,Gasoline ,8-Speed Automatic," 45,657 mi. "
10,2016 Dodge Journey SE,"$13,500", Billet Silver Metallic Clearcoat , Black / Red ,Gasoline ,4-Speed Automatic," 90,802 mi. "
11,2013 Chevrolet Silverado 1500 LT,"$21,000", Mocha Steel Metallic , Ebony ,Gasoline ,6-Speed Automatic," 112,077 mi. "
12,2015 Chevrolet Silverado 1500 LT,"$24,000", Deep Ruby Metallic , Black ,Gasoline ,6-Speed Automatic," 130,107 mi. "
13,2020 Chevrolet Suburban LT,"$36,000", Silver Ice Metallic , Black ,Gasoline ,6-Speed Automatic," 92,344 mi. "
14,2020 Dodge Grand Caravan GT,"$24,500", White Knuckle Clearcoat , Black ,Gasoline ,Automatic," 64,531 mi. "
15,2016 Ford F-150 XLT,"$30,500", Blue , – ,Gasoline ,6-Speed Automatic," 70,270 mi. "
16,2019 Chevrolet Camaro 1SS,"$38,500", Red , Jet Black ,Gasoline ,10-Speed Automatic," 24,617 mi. "
17,2017 Cadillac Escalade ESV Luxury,"$43,500", Crystal White Tri-Coat , Black ,Gasoline ,8-Speed Automatic," 69,863 mi. "
18,2011 Dodge Ram 1500 ST,"$12,000", Flame Red Clearcoat , Dark Slate / Medium Greystone ,Gasoline ,4-Speed Automatic," 153,527 mi. "
19,2020 Ford F-150 XLT,"$41,000", Magma Red , Black ,Gasoline ,10-Speed Automatic," 35,770 mi. "
20,2015 RAM ProMaster 1500 Low Roof,"$21,000", Bright White Clearcoat , Gray ,Gasoline ,6-Speed Automatic," 146,192 mi. "
21,2013 Dodge Durango R/T,"$21,000", Redline 2 Coat Pearl , Black ,Gasoline ,6-Speed Automatic," 89,921 mi. "
22,2014 Ford Focus SE,"$11,500", Ingot Silver , – ,Gasoline ,6-Speed Automatic with Auto-Shift," 63,364 mi. "
23,2021 Chevrolet Equinox 1LT,"$21,500", Mosaic Black Metallic , Jet Black ,Gasoline ,6-Speed Automatic," 60,033 mi. "
24,2016 Chevrolet Spark 1LT,"$14,500", Black Granite Metallic , Black ,Gasoline ,Automatic CVT," 49,396 mi. "
25,2015 Jeep Renegade Trailhawk,"$15,000", Omaha Orange , Black ,Gasoline ,9-Speed Automatic," 129,715 mi. "
26,2021 GMC Terrain SLT,"$25,500", Summit White , Jet Black ,Gasoline ,9-Speed Automatic," 63,850 mi. "
27,2016 Jeep Grand Cherokee Overland,"$24,500", True Blue Pearlcoat , Light Frost / Brown ,Diesel ,8-Speed Automatic," 97,921 mi. "
28,2015 Jeep Grand Cherokee Altitude,"$23,000", Bright White Clearcoat , Black ,E85 Flex Fuel ,8-Speed Automatic," 73,824 mi. "
29,2019 GMC Acadia Denali,"$32,500", Quicksilver Metallic , Jet Black ,Gasoline ,6-Speed Automatic," 72,775 mi. "
30,2016 GMC Sierra 1500 SLE,"$29,000", Cardinal Red , Black ,Gasoline ,6-Speed Automatic," 99,457 mi. "
31,2014 Buick Enclave Premium,"$17,500", Champagne Silver , Cocoa ,Gasoline ,6-Speed Automatic," 92,716 mi. "
32,2017 Chevrolet Silverado 1500 LT,Not Priced, Deep Ocean Blue Metallic , Black ,Gasoline ,6-Speed Electronically Controlled Automatic with O," 91,995 mi. "
